Store,Brand,Item Type,Name (on Website),Gender,Count/Size,Price,Price Per Unit
CVS,Dove,Body Wash,Purely Pampering Shea Butter with Warm Vanilla Beauty Bar,F,24 oz,$9.49,$0.40
CVS,Dove,Body Wash,Men+Care Aqua Impact Body and Face Bar,M,24 oz,$9.49,$0.40
CVS,Dove,Body Wash,"Go Fresh Restore Body Wash, Blue Fig & Orange Blossom Scent",F,22 oz,$8.99,
CVS,Dove,Body Wash,Men+Care Clean Comfort Body Wash,M,22 oz,$8.99,
CVS,Nivea,Body Wash,Touch of Serenity Moisturizing Body Wash Hibiscus Blossom Scent & Aloe Essence,F,16.9 oz,$4.00,$0.24
CVS,Nivea,Body Wash,Nivea for Men Body Wash Energy,M,16.9 oz,$4.00,$0.24
CVS,Suave,Body Wash,Creamy Cocoa Butter & Shea Butter Moisturizing Body Wash,F,12 oz,$2.77,$0.23
CVS,Suave,Body Wash,Men's Sport Recharge Body Wash,M,12 oz,$2.77,$0.23
CVS,CVS,Deodorant,"Clinical Strength Antiperspirant, Green Tea & Cucumber Scent",F,1.7 oz,$7.99,$4.70
CVS,CVS,Deodorant,"Clinical Strength Waterproof Antiperspirant & Deodorant For Men, Ultra Fresh Scent",M,1.7 oz,$7.99,$4.70
CVS,Degree,Deodorant,Women Anti-Perspirant Deodorant Invisible Solid Shower Clean,F,2.6 oz,$3.99,
CVS,Degree,Deodorant,Men Ultra Dry Anti-Perspirant Deodorant Invisible Stick Sport,M,2.7 oz,$3.79,
CVS,Dove,Deodorant,Go Fresh Anti-Perspirant Deodorant Ultimate Clear Cool Essentials,F,2.6 oz,$4.99,
CVS,Dove,Deodorant,Men + Care Clean Comfort Powerful Protection Antiperspirant,M,2.7 oz,$5.29,
CVS,Suave,Hair Care,Professionals Moroccan Infusion Shine Shampoo (& conditioner),F,12.6 oz,$7.98,$0.32
CVS,Suave,Hair Care,Professionals Men 2 In 1 Shampoo + Conditioner,M,12.6 oz,$2.67,$0.21
CVS,TIGI,Hair Care,Bed Head Resurrection Shampoo,F,25.36 oz,$18.99,$0.75
CVS,TIGI,Hair Care,Bed Head Men Clean Up Shampoo,M,25.36 oz,$14.20,$0.56
CVS,Neutrogena,Lotion,Healthy Skin Face Lotion Spf 15,F,2.5 oz,$15.99,
CVS,Neutrogena,Lotion,Men Triple Protect Face Lotion Spf 20,M,2.5 oz,$10.28,$5.71
CVS,Nivea,Lotion,Smooth Sensation Body Lotion Shea Butter & HYDRA IQ,F,16.9 oz,$6.49,$0.39
CVS,Nivea,Lotion,Men Maximum Hydration Body Lotion 3 in 1 Body Face & Hands,M,16.9 oz,$6.49,$0.39
CVS,CVS,Razor,3 Blade Disposable Razors for Women Lavender,F,4,$5.29,$1.32
CVS,CVS,Razor,3 Blade Disposable Razors for Sensitive Skin,M,4,$4.99,$1.25
CVS,Gillette,Razor,Venus Embrace Razor,F,1,$13.79,
CVS,Gillette,Razor,Fusion Manual Razor,M,1,$9.99,
CVS,Schick,Razor,Quattro For Women Razor,F,1,$9.99,
CVS,Schick,Razor,Quattro Titanium Razor,M,1,$10.99,
CVS,CVS,Razor Cartridges,5 Blade Women's Razor Cartridges,F,4,$10.99,$2.75
CVS,CVS,Razor Cartridges,5 Blade Men's Razor Cartridges,M,4,$9.99,$2.50
CVS,Schick,Razor Cartridges,Quattro For Women Cartridges,F,4,$14.99,$3.75
CVS,Schick,Razor Cartridges,Quattro Titanium Cartridges,M,4,$13.79,$3.45
CVS,CVS,Shaving Cream,Raspberry Shave Gel For Women,F,7 oz,$2.49,$0.36
CVS,CVS,Shaving Cream,Sensitive Skin Shave Gel for Men,M,7 oz,$2.49,$0.36
CVS,Edge,Shaving Cream,Advanced Gel Sensitive Skin,M,7 oz,$3.49,$0.50
CVS,Gillette,Shaving Cream,Venus Shave Gel Olay Violet Swirl,F,7 oz,$3.29,$0.47
CVS,Gillette,Shaving Cream,Fusion Hydragel Shave Gel Moisturizing,M,7 oz,$4.59,$0.66
CVS,Skintimate,Shaving Cream,Signature Scents Shave Gel Strawberry Tangerine Twist,F,7 oz,$3.79,$0.54
Walgreens,Dial,Lotion,"7 Day Moisturizing Lotion, Extra Dry Skin",F,21 oz,$6.79,$0.32
Walgreens,Dial,Lotion,Dial For Men NutriSkin Body & Hand Lotion Ultra Hydrating,M,21 oz,$6.79,$0.32
Walgreens,Vaseline,Lotion,Intensive Rescue Intensive Care Advanced Repair Non-Greasy Lotion Fragrance Free,F,10 oz,$4.19,$0.42
Walgreens,Vaseline,Lotion,Men Healing Moisture Non-Greasy Body & Face Lotion Extra Strength,M,10 oz,$4.19,$0.42
Walgreens,BIC,Razor,BiC Comfort 3 Shavers for Women,F,4,$3.99,
Walgreens,BIC,Razor,BiC Comfort 3 Pivot Shavers,M,4,$3.99,
Walgreens,Gillette,Razor,Venus Swirl Women's Razor Handle with 2 Blade Refills,F,1,$13.99,
Walgreens,Gillette,Razor,Fusion ProGlide SilverTouch Razor with FlexBall Handle Technology & 2 Razor Blade Refills,M,1,$13.79,
Walgreens,Schick,Razor,Quattro For Women Razor,F,1,$10.49,
Walgreens,Schick,Razor,Quattro Titanium Razor,M,1,$9.99,
Walgreens,Edge,Shaving Cream,Shave Gel Soothing Aloe,M,7 oz,$3.29,$0.47
Walgreens,Gillette,Shaving Cream,"Venus with a Touch of Olay, Shave Gel Sugarberry Bliss",F,7 oz,$3.49,$0.50
Walgreens,Gillette,Shaving Cream,Series Shave Gel,M,7 oz,$2.89,$0.41
Walgreens,Skintimate,Shaving Cream,SignatureScents Moisturizing Shave Gel Raspberry Rain,F,7 oz,$3.29,$0.47
Rite Aid,Rite Aid,Shaving Cream,"Renewal Shave Gel, Moisturizing, Baby Soft with Baby Oil",F,7 oz,$2.59,
Rite Aid,Rite Aid,Shaving Cream,"Renewal Shave Gel, for Men, Sensitive Skin",M,7 oz,$2.59,
Rite Aid,Skintimate,Shaving Cream,"Skin Therapy Shave Cream, Moisturizing, Sensitive Skin",F,10 oz,$3.49,
Target,Sigvaris,Compression Socks,Women's Baby Legs Cotton Compression Sock 15-20 Mmhg,F,,$27.96,
Target,Sigvaris,Compression Socks,Men's Casual Cotton Compression Sock 15-20 Mmhg,M,,$27.96,
